region_id,B112
2032305,899.5
2032306,574.5
2032307,566.2
2032308,1053.6
2032309,767.6
2032310,658.3
2032311,1027.9
2032312,816.1
2040101,546.6
2040102,566.2
2040103,574.5
2040104,595.8
2040105,632.4
2040106,724.5
2040107,707.9
2040108,639.7
2040201,555.9
2040202,714.8
2040203,574.5
2040204,757.6
2040205,626.6
2040206,527.1
2040207,756.9
2040208,806.2
2040209,619.2
2040210,660.6
2040211,1001.5
2040301,631.7
2040302,490.7
2040303,603.6
2040304,509.3
2040305,638.1
2040306,705.9
2040307,694.7
2040308,724.5
2040309,503
2040310,564.3
2040311,587.6
2040312,724.5
2040313,724.5
2040314,668.6
2040315,572.9
2040316,687.3
2040401,655.7
2040402,606.4
2040403,592
2040404,579.5
2040405,524.3
2040406,449.3
2040407,545.2
2040408,574.5
2040501,732
2040502,808.3
2040503,621.3
2040504,510.2
2040505,558.7
2040506,463.7
2040507,636.6
2040508,1111.9
2040509,586.9
2040510,516.6
2040601,961.7
2040602,631.5
2040603,545.5
2040604,676.3
2040605,580.7
2040606,613.4
