,STOP_ID,STOP_NAME,ROUTEUSSP
301,17880,10-Albert St/Nicholson St (Fitzroy),"86,96,35"
302,17882,9-Spring St/Bourke St (Melbourne City),"96,86"
303,17885,3-William St/Bourke St (Melbourne City),"96,86"
304,17886,4-Queen St/Bourke St (Melbourne City),"96,86"
305,17887,5-Elizabeth St/Bourke St (Melbourne City),"96,86"
306,17888,6-Swanston St/Bourke St (Melbourne City),"96,86"
307,17889,7-Russell St/Bourke St (Melbourne City),"96,86"
308,1789,50-Anderson St/Wattletree Rd (Malvern East),5
309,17891,9-Spring St/Bourke St (Melbourne City),"96,86"
310,17892,10-Albert St/Nicholson St (East Melbourne),"86,96,35"
311,17894,11-Melbourne Museum/Nicholson St (Fitzroy),"96,86"
312,17895,12-St Vincents Plaza/Victoria Pde (East Melbourne),"11,12,30,109"
313,17896,11-Albert St/Gisborne St (East Melbourne),"11,12,109"
314,17897,10-Parliament Railway Station/Macarthur St (East Melbourne),"11,12,109"
315,17898,8-Spring St/Collins St (Melbourne City),"11,12,48,109"
316,17901,6-Melbourne Town Hall/Collins St (Melbourne City),"11,12,48,109"
317,17902,5-Elizabeth St/Collins St (Melbourne City),"11,12,48,109"
318,17903,3-William St/Collins St (Melbourne City),"11,12,48,109"
319,17905,1-Spencer St/Collins St (Melbourne City),"11,12,48,109"
320,17906,1-Spencer St/Collins St (Melbourne City),"11,12,48,109"
321,17908,3-William St/Collins St (Melbourne City),"11,12,48,109"
322,18513,35-Moore St/Maribyrnong Rd (Moonee Ponds),82
323,18514,36-Bayview Tce/Maribyrnong Rd (Moonee Ponds),82
324,18515,37-Union Rd/Maribyrnong Rd (Moonee Ponds),82
325,18516,38-Ferguson St/Maribyrnong Rd (Ascot Vale),"82,57"
326,18517,39-Bowen St/Maribyrnong Rd (Moonee Ponds),"82,57"
327,18518,40-Epsom Rd/Maribyrnong Rd (Ascot Vale),"82,57"
328,18519,37-Maribyrnong Rd/Union Rd (Ascot Vale),57
329,18520,36-St Leonards Rd/Union Rd (Ascot Vale),57
330,18521,35-Munro St/Union Rd (Ascot Vale),57
331,18522,34-Burrowes St/Union Rd (Ascot Vale),57
332,18524,32-Sandown Rd/Epsom Rd (Ascot Vale),57
333,18525,31-Racing Victoria/400 Epsom Rd (Flemington),57
